gpt-4o-mini-2024-07-18,gpt-4o-2024-11-20
1.9426372051239011,2.304981231689453
2.24867582321167,2.2992563247680664
1.8641111850738523,2.3858301639556885
1.542417287826538,2.121394157409668
1.575125217437744,1.781625509262085
1.7812392711639404,1.8645830154418945
1.6480484008789062,2.642075300216675
1.8635613918304443,2.0018157958984375
1.7975833415985107,2.6469197273254395
1.5140340328216553,2.021515369415283
1.7284376621246338,2.11433482170105
1.4992148876190186,2.50832200050354
1.7819485664367676,1.9987070560455322
1.7492055892944336,1.8511252403259277
2.317949056625366,2.240316867828369
1.9724452495574951,2.920576572418213
1.9284429550170896,2.912693500518799
1.505945920944214,2.525327444076538
2.090944528579712,4.614821195602417
1.5071372985839844,2.342684030532837
1.3615026473999023,2.3864245414733887
2.138482093811035,3.604539155960083
1.894314765930176,2.5631556510925293
2.0194361209869385,2.064120054244995
1.711378574371338,2.6024417877197266
1.3144869804382324,1.9458918571472168
1.8085246086120603,2.408104658126831
2.2455801963806152,2.881072521209717
1.9892220497131348,2.4400386810302734
3.830153703689575,1.7921242713928223
1.386244297027588,2.3264729976654053
1.3538153171539309,1.8795385360717773
1.6943426132202148,2.438204526901245
2.285360813140869,2.1789705753326416
1.635335922241211,3.2824175357818604
1.7126924991607666,1.5660994052886963
1.501035451889038,2.0667479038238525
6.210397005081177,3.4784209728240967
2.966294527053833,2.408496618270874
1.4173219203948977,2.455767869949341
1.8695573806762693,2.268160104751587
1.741302728652954,2.255925416946411
1.5622873306274414,2.1284608840942383
1.2078981399536133,1.8998584747314453
2.647618532180786,2.316359043121338
1.8012714385986328,2.0591516494750977
1.363227605819702,1.6349351406097412
1.2632582187652588,1.6789169311523438
1.8245983123779297,2.167483329772949
1.9933888912200928,1.8781077861785889
1.6951234340667725,2.4201276302337646
2.5382046699523926,2.488532066345215
1.7292542457580566,1.9185571670532227
2.283306121826172,3.08223557472229
1.5726196765899658,1.765202522277832
1.1830899715423584,1.9335341453552246
1.1813604831695557,2.143298387527466
6.832736968994141,2.149048328399658
1.755657196044922,2.1823995113372803
1.45670485496521,3.015066623687744
1.587203025817871,2.0201845169067383
2.574458360671997,3.104304313659668
1.6419458389282229,2.4955382347106934
1.9516615867614744,2.5450315475463867
1.6153509616851809,2.3654379844665527
1.9360501766204836,2.2055861949920654
1.5711638927459717,2.4387054443359375
1.4967715740203855,2.240027904510498
1.5605859756469729,1.7716963291168213
3.847143650054932,2.125518560409546
3.579576015472412,1.5838210582733154
2.1494572162628174,3.2578845024108887
2.2650187015533447,2.7119507789611816
1.3974907398223877,1.5761091709136963
2.3422553539276123,5.136808156967163
2.716270685195923,2.336915969848633
2.509899139404297,4.369011878967285
2.466715097427368,3.139918327331543
1.5993499755859375,1.877596139907837
1.794163465499878,2.331210136413574
1.947413206100464,2.5027241706848145
1.4831740856170654,1.7371776103973389
1.4077298641204834,1.670274019241333
